,เงินทุนรวม,คนงานรวม,แรงม้า
337,15500000.0,5.0,65.0
338,5160000.0,7.0,60.0
339,26000000.0,14.0,290.0
340,11000000.0,7.0,281.0
341,4500000.0,6.0,285.0
343,5000000.0,6.0,92.0
344,15500000.0,6.0,53.0
346,5020000.0,7.0,84.0
347,6040000.0,5.0,120.0
348,27500000.0,14.0,481.0
349,4000000.0,12.0,185.0
350,6800000.0,10.0,122.0
351,12000000.0,2.0,64.0
352,4300000.0,12.0,130.0
353,11500000.0,28.0,370.0
354,8500000.0,10.0,65.0
355,10500000.0,12.0,295.0
356,4800000.0,10.0,76.5
357,9000000.0,14.0,177.0
358,3310000.0,6.0,187.0
359,9000000.0,9.0,84.0
360,10000000.0,9.0,194.0
361,3500000.0,6.0,82.0
362,1700000.0,5.0,75.0
363,8000000.0,15.0,99.0
364,3000000.0,10.0,170.0
365,26000000.0,16.0,132.0
366,11000000.0,10.0,94.0
367,3800000.0,6.0,126.68
368,4300000.0,10.0,130.0
369,1900000.0,16.0,100.0
370,3000000.0,7.0,60.0
371,7600000.0,13.0,60.0
372,10000000.0,12.0,133.0
373,8500000.0,10.0,65.0
374,21300000.0,6.0,62.0
375,5750000.0,12.0,286.0
376,900000.0,7.0,144.0
377,6000000.0,20.0,131.0
378,6000000.0,10.0,205.0
379,3500000.0,20.0,64.0
380,16500000.0,11.0,130.0
381,1200000.0,11.0,50.0
382,15441000.0,22.0,370.0
383,18136000.0,18.0,330.0
384,4000000.0,5.0,94.0
385,4450000.0,8.0,143.8
386,4900000.0,7.0,93.0
387,1800000.0,9.0,101.1
388,1500000.0,14.0,50.0
389,900000.0,9.0,80.0
390,380000.0,7.0,83.65
391,1530000.0,10.0,140.0
392,3200000.0,7.0,425.0
393,3000000.0,11.0,121.0
394,2200000.0,7.0,90.0
395,30000000.0,6.0,634.0
396,8000000.0,7.0,95.0
397,26000000.0,10.0,66.7
398,3000000.0,9.0,96.0
399,1400000.0,12.0,158.5
400,11600000.0,9.0,465.0
401,8000000.0,28.0,285.0
402,2000000.0,10.0,90.0
403,4200000.0,10.0,90.0
404,26000000.0,15.0,90.0
405,1430000.0,9.0,95.0
406,5900000.0,13.0,150.0
407,1815000.0,2.0,85.0
408,400000.0,10.0,150.0
409,7000000.0,3.0,289.0
410,6000000.0,15.0,120.0
411,4000000.0,12.0,153.0
412,3250000.0,12.0,92.0
413,3250000.0,8.0,107.0
414,400000.0,12.0,124.0
415,5000000.0,20.0,120.0
416,5000000.0,12.0,87.0
417,3970000.0,4.0,72.5
418,3300000.0,12.0,104.0
419,7000000.0,10.0,188.0
420,5000000.0,12.0,90.0
421,18000000.0,15.0,191.0
423,7500000.0,10.0,90.0
424,10000000.0,27.0,126.0
425,1900000.0,7.0,59.0
426,1800000.0,12.0,61.6
427,2650000.0,14.0,107.5
428,8000000.0,6.0,89.0
429,27000000.0,20.0,285.0
430,14000000.0,9.0,235.0
431,6400000.0,8.0,275.5
432,22500000.0,14.0,481.0
433,1500000.0,10.0,73.2
434,18850000.0,15.0,395.0
435,8100000.0,7.0,56.0
436,6000000.0,15.0,105.0
438,4000000.0,20.0,576.0
439,10020000.0,24.0,230.0
440,17000000.0,12.0,205.0
441,16000000.0,12.0,80.8
444,4800000.0,10.0,252.5
445,31000000.0,15.0,104.47
446,5050000.0,7.0,75.0
447,15000000.0,7.0,681.0
449,20000000.0,10.0,480.0
450,25384000.0,24.0,106.02
451,8000000.0,14.0,75.0
452,7300000.0,12.0,90.0
453,4700000.0,15.0,85.0
454,10700000.0,15.0,168.0
455,8500000.0,9.0,115.0
456,9700000.0,18.0,410.0
458,16000000.0,20.0,237.24
459,3200000.0,20.0,200.0
460,900000.0,5.0,500.0
461,750000.0,3.0,222.0
462,2500000.0,10.0,85.0
463,9000000.0,20.0,582.0
464,5000000.0,11.0,288.0
465,900000.0,8.0,143.0
466,13000000.0,10.0,423.0
467,9000000.0,22.0,149.0
468,7000000.0,20.0,490.0
470,5500000.0,5.0,120.0
471,23000000.0,18.0,50.0
472,14000000.0,10.0,255.0
473,800000.0,8.0,150.0
474,11600000.0,20.0,270.0
476,4300000.0,5.0,88.0
477,5500000.0,12.0,190.0
478,11026000.0,18.0,270.0
479,28538269.0,11.0,184.3
480,5005000.0,4.0,224.31
481,2050000.0,14.0,180.0
482,16000000.0,6.0,139.0
483,800000.0,10.0,213.0
484,3000000.0,23.0,243.0
485,26609500.0,16.0,265.0
486,11000000.0,15.0,240.0
487,4000000.0,10.0,203.0
488,3100000.0,4.0,61.0
489,5500000.0,7.0,190.0
490,12000000.0,10.0,335.0
491,900000.0,15.0,76.0
492,11000000.0,7.0,228.0
493,2500000.0,7.0,238.0
494,3000000.0,15.0,57.5
495,5100000.0,24.0,144.0
496,5000000.0,7.0,396.5
497,21800000.0,7.0,140.0
498,13500000.0,19.0,326.0
499,19500000.0,14.0,500.0
500,3900000.0,4.0,119.0
501,3000000.0,20.0,241.0
502,6320000.0,7.0,100.0
503,730000.0,7.0,194.0
504,20000000.0,25.0,77.5
505,3500000.0,16.0,147.0
506,1650000.0,15.0,93.0
507,10000000.0,21.0,160.0
508,15000000.0,8.0,100.0
509,3900000.0,7.0,70.0
510,5000000.0,8.0,100.0
511,1950000.0,18.0,92.5
512,4566000.0,17.0,128.5
513,3700000.0,8.0,58.5
514,600000.0,8.0,92.0
515,11000000.0,10.0,300.0
516,11300000.0,10.0,120.0
517,4050000.0,6.0,120.0
518,330000.0,10.0,78.5
519,1500000.0,5.0,95.0
520,3000000.0,9.0,133.0
521,7500000.0,24.0,190.0
522,3950000.0,18.0,362.5
523,5500000.0,11.0,61.0
524,1000000.0,7.0,60.0
525,1620000.0,5.0,194.0
526,24000000.0,18.0,410.0
527,3200000.0,6.0,198.0
528,2700000.0,12.0,174.0
529,7500000.0,20.0,348.0
530,3020000.0,5.0,74.5
531,28000000.0,17.0,373.5
532,2000000.0,5.0,190.4
533,4280000.0,4.0,86.83
534,30000000.0,15.0,675.0
535,3840000.0,4.0,88.0
536,9000000.0,7.0,293.0
537,11200000.0,8.0,256.0
539,16200000.0,8.0,286.0
540,5000000.0,15.0,421.0
541,22500000.0,9.0,181.0
542,24860000.0,8.0,210.0
543,5900000.0,9.0,193.0
544,15500000.0,8.0,286.0
545,5500000.0,11.0,63.0
546,4515000.0,20.0,495.0
548,10000000.0,21.0,342.0
550,4515000.0,20.0,428.0
551,6500000.0,17.0,667.0
552,600000.0,4.0,60.0
553,8000000.0,9.0,197.0
554,1500000.0,9.0,157.0
556,12500000.0,12.0,198.0
557,1950000.0,5.0,239.0
558,30290000.0,8.0,388.95
559,8300000.0,3.0,72.64
560,12000000.0,6.0,64.55
561,2600000.0,3.0,50.0
563,3600000.0,15.0,97.0
564,3500000.0,7.0,280.0
565,900000.0,12.0,164.0
566,7496000.0,28.0,79.0
567,12250000.0,10.0,155.0
568,7600000.0,10.0,214.48
569,31000000.0,12.0,321.0
570,8000000.0,10.0,240.0
571,5300000.0,8.0,100.0
572,1200000.0,11.0,84.0
573,28000000.0,20.0,425.0
574,1600000.0,12.0,50.0
575,830000.0,13.0,97.0
576,13000000.0,25.0,400.0
577,3500000.0,7.0,118.0
578,15500000.0,12.0,82.0
579,4200000.0,17.0,53.0
580,3000000.0,10.0,225.0
581,11000000.0,7.0,254.0
582,22000000.0,17.0,179.0
583,900000.0,12.0,171.0
584,8200000.0,20.0,78.0
585,3000000.0,6.0,126.0
586,6300000.0,17.0,97.75
587,4000000.0,15.0,160.0
588,15000000.0,15.0,84.0
589,1500000.0,12.0,164.0
590,4400000.0,12.0,61.0
591,8000000.0,9.0,290.0
592,9300000.0,25.0,60.0
593,17000000.0,6.0,125.0
594,15000000.0,10.0,210.0
595,1650000.0,10.0,95.0
596,3000000.0,15.0,50.27
597,8000000.0,17.0,169.0
598,11000000.0,23.0,285.0
599,25000000.0,10.0,124.0
600,2050000.0,16.0,87.0
601,4500000.0,10.0,595.0
602,4300000.0,9.0,90.0
603,1750000.0,9.0,113.0
604,7000000.0,24.0,136.75
605,700000.0,4.0,59.0
606,700000.0,7.0,62.5
607,15000000.0,15.0,325.0
609,20584000.0,28.0,293.0
610,7900000.0,15.0,97.0
611,20000000.0,10.0,294.0
612,5500000.0,15.0,170.0
613,9050000.0,9.0,118.0
614,5656000.0,11.0,232.0
615,15200000.0,10.0,115.0
616,29000000.0,18.0,327.0
617,5000000.0,8.0,67.0
618,22700000.0,10.0,203.0
619,4100000.0,9.0,92.0
621,11000000.0,4.0,75.0
622,9000000.0,26.0,65.0
